Informations générales - Code INSEE de la commune,Nom de la commune,2019,2020,2021
59328,LAMBERSART,0,0,0
59350,LILLE,0,0,0
59360,LOOS,0,0,0
59365,LOUVROIL,0,0,0
59367,LYS-LEZ-LANNOY,0,0,0
59368,MADELEINE,0,0,0
59383,MARLY,0,0,0
59386,MARQUETTE-LEZ-LILLE,0,0,0
59392,MAUBEUGE,0,0,0
59400,MERVILLE,173117,0,0
59410,MONS-EN-BAROEUL,0,0,0
59421,MOUVAUX,139037,0,0
59447,ONNAING,0,0,0
59452,OSTRICOURT,0,0,0
59456,PECQUENCOURT,0,0,0
59481,QUESNOY,0,0,0
59484,QUIEVRECHAIN,0,0,0
59491,RAISMES,0,0,0
59507,RONCHIN,0,0,0
59508,RONCQ,74365,0,0
59509,ROOST-WARENDIN,0,0,0
59512,ROUBAIX,0,0,0
59526,SAINT-AMAND-LES-EAUX,0,0,0
59527,SAINT-ANDRE-LEZ-LILLE,0,0,0
59544,SAINT-SAULVE,0,0,0
59560,SECLIN,0,0,0
59569,SIN-LE-NOBLE,0,0,0
59574,SOMAIN,0,0,0
59599,TOURCOING,0,0,0
59606,VALENCIENNES,0,0,0
59616,VIEUX-CONDE,0,0,0
59632,WALLERS,0,0,0
59636,WAMBRECHIES,0,0,0
59648,WATTIGNIES,0,0,0
59650,WATTRELOS,0,0,0
59654,WAZIERS,0,0,0
60057,BEAUVAIS,0,0,0
60139,CHAMBLY,0,0,0
60141,CHANTILLY,38532,0,0
60157,CLERMONT,0,0,0
60159,COMPIEGNE,0,0,0
60175,CREIL,0,0,0
60176,CREPY-EN-VALOIS,0,0,0
60360,LIANCOURT,0,0,0
60395,MERU,0,0,0
60414,MONTATAIRE,0,0,0
60463,NOGENT-SUR-OISE,0,0,0
60471,NOYON,0,0,0
60509,PONT-SAINTE-MAXENCE,0,0,0
60581,SAINT-JUST-EN-CHAUSSEE,0,0,0
60612,SENLIS,81965,0,0
60684,VILLERS-SAINT-PAUL,0,0,0
61001,ALENCON,0,0,0
61006,ARGENTAN,0,0,0
61169,FLERS,0,0,0
61214,AIGLE,0,0,0
61464,SEES,50850,33900,0
62014,AIRE-SUR-LA-LYS,0,0,0
62040,ARQUES,228025,0,0
62041,ARRAS,0,0,0
62048,AUCHEL,0,0,0
62057,AUDRUICQ,0,0,0
62065,AVION,0,0,0
62083,BARLIN,0,0,0
62108,BERCK,0,0,0
62119,BETHUNE,0,0,0
62133,BILLY-MONTIGNY,0,0,0
62160,BOULOGNE-SUR-MER,0,0,0
62178,BRUAY-LA-BUISSIERE,0,0,0
62186,BULLY-LES-MINES,0,0,0
62193,CALAIS,0,0,0
62194,CALONNE-RICOUART,0,0,0
62215,CARVIN,0,0,0
62249,COURCELLES-LES-LENS,0,0,0
62250,COURRIERES,0,0,0
62268,DESVRES,0,0,0
62270,DIVION,0,0,0
62274,DOURGES,0,0,0
62318,ETAPLES,0,0,0
62351,FOUQUIERES-LES-LENS,0,0,0
62386,GRENAY,0,0,0
62397,GUINES,0,0,0
62400,HAILLICOURT,837102,744090,651079
62413,HARNES,0,0,0
62427,HENIN-BEAUMONT,0,0,0
62443,HERSIN-COUPIGNY,0,0,0
62457,HOUDAIN,0,0,0
62497,LEFOREST,0,0,0
62498,LENS,0,0,0
62510,LIEVIN,0,0,0
62516,LILLERS,0,0,0
62523,LOISON-SOUS-LENS,0,0,0
62525,LONGUENESSE,0,0,0
62528,LOOS-EN-GOHELLE,0,0,0
62548,MARCK,0,0,0
62555,MARLES-LES-MINES,0,0,0
62560,MARQUISE,0,0,0
62563,MAZINGARBE,0,0,0
62570,MERICOURT,0,0,0
62587,MONTIGNY-EN-GOHELLE,0,0,0
62617,NOEUX-LES-MINES,0,0,0
62624,NOYELLES-GODAULT,0,0,0
62628,NOYELLES-SOUS-LENS,0,0,0
62637,OIGNIES,0,0,0
62643,OUTREAU,0,0,0
62667,PORTEL,0,0,0
62724,ROUVROY,0,0,0
62737,SAINS-EN-GOHELLE,0,0,0
62746,SAINT-ETIENNE-AU-MONT,0,0,0
62758,SAINT-MARTIN-BOULOGNE,0,0,0
62764,SAINT-NICOLAS,392470,343411,294352
62765,SAINT-OMER,0,0,0
62771,SALLAUMINES,0,0,0
62842,VENDIN-LE-VIEIL,0,0,0
62895,WINGLES,0,0,0
62907,LIBERCOURT,0,0,0
63014,AUBIERE,0,0,0
63032,BEAUMONT,63964,0,0
63113,CLERMONT-FERRAND,0,0,0
63124,COURNON-D'AUVERGNE,0,0,0
63164,GERZAT,0,0,0
63178,ISSOIRE,0,0,0
63284,PONT-DU-CHATEAU,85826,0,0
63300,RIOM,0,0,0
63430,THIERS,0,0,0
64102,BAYONNE,0,0,0
64129,BILLERE,0,0,0
64260,HENDAYE,85221,0,0
64410,MOURENX,0,0,0
64422,OLORON-SAINTE-MARIE,0,0,0
64445,PAU,0,0,0
65059,BAGNERES-DE-BIGORRE,0,0,0
65286,LOURDES,0,0,0
65440,TARBES,0,0,0
66136,PERPIGNAN,0,0,0
66171,SAINT-CYPRIEN,110914,0,0
66172,SAINT-ESTEVE,0,0,0
66180,SAINT-LAURENT-DE-LA-SALANQUE,0,0,0
67043,BISCHHEIM,0,0,0
67046,BISCHWILLER,0,0,0
67067,BRUMATH,60751,53157,45563
67130,ERSTEIN,56615,0,0
67180,HAGUENAU,0,0,0
67204,HOENHEIM,0,0,0
67218,ILLKIRCH-GRAFFENSTADEN,0,0,0
67267,LINGOLSHEIM,0,0,0
67365,OSTWALD,0,0,0
67437,SAVERNE,0,0,0
67447,SCHILTIGHEIM,0,0,0
67482,STRASBOURG,0,0,0
68063,CERNAY,0,0,0
68066,COLMAR,0,0,0
68112,GUEBWILLER,0,0,0
68154,ILLZACH,0,0,0
68166,KINGERSHEIM,0,55994,0
68224,MULHOUSE,0,0,0
68271,RIEDISHEIM,85886,0,0
68297,SAINT-LOUIS,0,0,0
68298,SAINTE-MARIE-AUX-MINES,0,0,0
68375,WITTELSHEIM,0,0,0
68376,WITTENHEIM,0,0,0
69019,BELLEVILLE-EN-BEAUJOLAIS,0,0,0
69029,BRON,0,0,0
69081,ECULLY,0,0,0
69091,GIVORS,0,0,0
69123,LYON,0,0,0
69149,OULLINS,0,0,0
69152,PIERRE-BENITE,0,0,0
69199,SAINT-FONS,0,0,0
69243,TARARE,0,0,0
69256,VAULX-EN-VELIN,0,0,0
69259,VENISSIEUX,0,0,0
69264,VILLEFRANCHE-SUR-SAONE,0,0,0
69266,VILLEURBANNE,0,0,0
69275,DECINES-CHARPIEU,0,0,0
69276,FEYZIN,0,93378,0
69282,MEYZIEU,0,0,0
69286,RILLIEUX-LA-PAPE,0,0,0
69290,SAINT-PRIEST,0,0,0
70279,GRAY,0,0,0
70285,HÉRICOURT,0,0,0
70550,VESOUL,0,0,0
71014,AUTUN,0,0,0
71076,CHALON-SUR-SAONE,0,0,0
71153,CREUSOT,0,0,0
71270,MACON,0,0,0
71306,MONTCEAU-LES-MINES,0,0,0
71310,MONTCHANIN,0,123361,0
72003,ALLONNES,0,0,0
72095,COULAINES,0,0,0
72154,FLECHE,0,0,0
72180,MAMERS,0,0,0
72181,MANS,0,0,0
72264,SABLE-SUR-SARTHE,0,0,0
73011,ALBERTVILLE,0,0,0
73065,CHAMBERY,0,0,0
74012,ANNEMASSE,0,0,0
74042,BONNEVILLE,115103,0,0
74081,CLUSES,0,0,0
74133,GAILLARD,0,0,0
74224,ROCHE-SUR-FORON,178980,153411,127843
74225,RUMILLY,0,0,0
74243,SAINT-JULIEN-EN-GENEVOIS,48195,0,0
74281,THONON-LES-BAINS,663709,580745,497781
