Informations générales - Code INSEE de la commune,nom_commune,dsr_garantie_commune_nouvelle_fraction_cible,dsr_garantie_commune_nouvelle_fraction_perequation,dsr_garantie_commune_nouvelle_fraction_bourg_centre
16110,COURCÔME,6298,27043,0
16148,GENAC-BIGNAC,0,35249,0
16153,MAINXE-GONDEVILLE,0,24873,0
16175,VAL DES VIGNES,0,48121,85109
16192,TERRES-DE-HAUTE-CHARENTE,15326,76627,21936
16204,BELLEVIGNE,0,49909,64924
16224,MONTMERAC,0,24800,0
16230,MONTMOREAU,97195,77490,115018
16281,LA ROCHEFOUCAULD-EN-ANGOUMOIS,31073,60771,132030
16286,ROUILLAC,0,71341,91162
16300,VAL-DE-BONNIEURE,22223,35459,0
16339,VAL-D'AUGE,0,42911,0
16406,MOULINS-SUR-TARDOIRE,0,18153,0
17160,FLOIRAC,2241,11656,0
17219,MARENNES-HIERS-BROUAGE,123752,112464,357781
17277,ESSOUVERT,54692,44744,0
17295,REAUX SUR TREFLE,0,25846,0
17340,SAINT-PIERRE-LA-NOUE,0,32746,0
17344,SAINT-HILAIRE-DE-VILLEFRANCHE,0,32226,80929
17457,LA DEVISE,0,26423,0
18023,BAUGY,42866,41495,110448
18073,CORQUOY,0,6575,0
19010,ARGENTAT-SUR-DORDOGNE,0,69770,184960
19019,BEAULIEU-SUR-DORDOGNE,0,25744,73009
19098,LAGARDE-MARC-LA-TOUR,0,39568,0
19101,LAGUENNE-SUR-AVALOUZE,0,35031,0
19123,MALEMORT,0,120586,0
19252,SARROUX-SAINT-JULIEN,0,42925,38028
21178,VALFORÊT,0,6438,0
21183,COLLONGES-ET-PREMIERES,1308,17159,0
21195,CORMOT-VAUCHIGNON,0,5762,0
21272,LE VAL-LARREY,5069,6862,0
21327,VAL-MONT,0,10021,0
21352,LONGEAULT-PLUVAULT,0,14277,0
21452,NEUILLY-CRIMOLOIS,0,28737,0
21623,TART,33824,30072,0
22046,LE MENE,0,187510,301241
22050,DINAN,0,46415,387706
22055,BINIC-ETABLES-SUR-MER,173532,147738,548216
22084,JUGON-LES-LACS-COMMUNE NOUVELLE ,103095,84500,158787
22093,LAMBALLE-ARMOR,80147,110964,0
22107,BON REPOS SUR BLAVET,0,54119,98732
22158,GUERLEDAN,0,71495,112890
22183,PLÉMET,94556,105357,233302
22203,PLOEUC-L'HERMITAGE,166286,143831,265955
22206,CHATELAUDREN-PLOUAGAT,0,75425,189830
22209,BEAUSSAIS-SUR-MER,121444,96494,240717
22219,PLOUGUENAST-LANGAST,0,81247,102297
22251,PORDIC,200042,167780,0
22264,LA ROCHE-JAUDY,78122,69288,174642
23109,LINARD-MALVAL,14477,10501,0
23149,PARSAC-RIMONDEIX,37120,30571,67808
23189,SAINT-DIZIER-MASBARAUD,39611,39579,0
23192,FURSAC,73573,62802,175123
24026,BASSILLAC ET AUBEROCHE,156140,119226,216366
24028,BEAUMONTOIS  EN PERIGORD,0,65573,127837
24035,PAYS DE BELVES,0,45465,115860
24053,BOULAZAC ISLE MANOIRE,0,219737,0
24064,BRANTOME EN PERIGORD,0,121386,153253
